OrderID	CustomerID	EmployeeID	OrderDate	RequiredDate	ShippedDate	ShipVia	Freight	ShipName	ShipAddress	ShipCity	ShipRegion	ShipPostalCode	ShipCountry
10248	VINET	5	1996-07-04	1996-08-01	1996-07-16	3	0	Vins et alcools Chevalier	59 rue de l''Abbaye	Reims		51100	France
10249	TOMSP	6	1996-07-05	1996-08-16	1996-07-10	1	0	Toms Spezialit?ten	Luisenstr. 48	M?nster		44087	Germany
10250	HANAR	4	1996-07-08	1996-08-05	1996-07-12	2	0	Hanari Carnes	Rua do Pa?o, 67	Rio de Janeiro	RJ	05454-876	Brazil
10251	VICTE	3	1996-07-08	1996-08-05	1996-07-15	1	0	Victuailles en stock	2, rue du Commerce	Lyon		69004	France
10252	SUPRD	4	1996-07-09	1996-08-06	1996-07-11	2	0	Supr?mes d?lices	Boulevard Tirou, 255	Charleroi		B-6000	Belgium
10253	HANAR	3	1996-07-10	1996-07-24	1996-07-16	2	0	Hanari Carnes	Rua do Pa?o, 67	Rio de Janeiro	RJ	05454-876	Brazil
10254	CHOPS	5	1996-07-11	1996-08-08	1996-07-23	2	0	Chop-suey Chinese	Hauptstr. 31	Bern		3012	Switzerland
10255	RICSU	9	1996-07-12	1996-08-09	1996-07-15	3	0	Richter Supermarkt	Starenweg 5	Gen?ve		1204	Switzerland
10256	WELLI	3	1996-07-15	1996-08-12	1996-07-17	2	0	Wellington Importadora	Rua do Mercado, 12	Resende	SP	08737-363	Brazil
10257	HILAA	4	1996-07-16	1996-08-13	1996-07-22	3	0	HILARI?N-Abastos	Carrera 22 con Ave. Carlos Soublette #8-35	San Crist?bal	T?chira	5022	Venezuela
10258	ERNSH	1	1996-07-17	1996-08-14	1996-07-23	1	0	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10259	CENTC	4	1996-07-18	1996-08-15	1996-07-25	3	0	Centro comercial Moctezuma	Sierras de Granada 9993	M?xico D.F.		05022	Mexico
10260	OTTIK	4	1996-07-19	1996-08-16	1996-07-29	1	0	Ottilies K?seladen	Mehrheimerstr. 369	K?ln		50739	Germany
